magnitudes	PMG_SW_5
NODE_A1233_length_543_cov_1884.304721_S37	582
NODE_C60_length_535_cov_52.443231_S37	21981
NODE_A11180_length_598_cov_6.886756_S38	353
NODE_A106_length_1384_cov_15.442999_S41	1336
NODE_A176_length_1162_cov_34.857143_S41	1005
NODE_A190_length_1117_cov_121.125962_S41	3112
NODE_A197_length_1101_cov_239.723633_S41	2569
NODE_A273_length_941_cov_41.432870_S41	8107
NODE_A310_length_895_cov_78.333741_S41	716
NODE_A317_length_885_cov_15.138614_S41	915
NODE_B59_length_875_cov_6.721805_S41	756
NODE_A374_length_821_cov_13.219086_S41	598
NODE_A741_length_622_cov_3.077064_S41	1157
NODE_A781_length_607_cov_153.971698_S41	1734
NODE_A804_length_596_cov_26.784200_S41	948
NODE_A1034_length_538_cov_3.845987_S41	311
NODE_A1114_length_522_cov_15.211236_S41	329
NODE_A1119_length_521_cov_32.795045_S41	370
NODE_A27_length_3481_cov_93.207109_S42	8631
NODE_A496_length_529_cov_29.893805_S42	457
NODE_B12_length_4427_cov_19.298161_S44	5168
NODE_C25_length_858_cov_6.763124_S44	932
NODE_B165_length_749_cov_17.587798_S44	847
NODE_C49_length_634_cov_9.766607_S44	1432
NODE_A5432_length_500_cov_3.406619_S44	609
NODE_A29_length_2081_cov_211.562874_S4	6378
NODE_B355_length_639_cov_13.638790_S4	688
NODE_B62_length_604_cov_2.064516_S45	2510
NODE_A206_length_601_cov_4.307252_S45	1609
NODE_A11_length_4410_cov_28.484883_S47	4575
NODE_A14_length_4051_cov_55.716910_S47	6124
NODE_A17_length_3918_cov_42.201510_S47	3788
NODE_A45_length_1997_cov_24.642708_S47	1628
NODE_A51_length_1800_cov_35.014510_S47	2192
NODE_A110_length_1326_cov_22.958367_S47	10022
NODE_A148_length_1227_cov_13.520000_S47	2345
NODE_B52_length_1069_cov_1.659274_S47	2104
NODE_A224_length_1049_cov_18.946502_S47	618
NODE_A255_length_999_cov_14.802603_S47	910
NODE_A268_length_983_cov_272.215232_S47	9098
NODE_A308_length_938_cov_132.658537_S47	85403
NODE_A322_length_916_cov_32.522050_S47	4402
NODE_A377_length_864_cov_15.702668_S47	738
NODE_A461_length_804_cov_13.903714_S47	803
NODE_A498_length_784_cov_21.398868_S47	737
NODE_A834_length_667_cov_10.764407_S47	938
NODE_A844_length_665_cov_87.649660_S47	6335
NODE_A1599_length_553_cov_19.686975_S47	476
NODE_C75_length_530_cov_2.013245_S47	860
NODE_A2299_length_508_cov_34.603248_S47	1478
NODE_A2_length_16366_cov_68.635644_S6	26224
NODE_A200_length_1429_cov_542.165680_S6	19869
NODE_A256_length_1334_cov_19.710422_S6	1263
NODE_A800_length_873_cov_514.888191_S6	60761
NODE_A853_length_852_cov_220.752258_S6	3932
NODE_A889_length_834_cov_1742.047556_S6	23911
NODE_A935_length_818_cov_9.593792_S6	787
NODE_A1087_length_772_cov_34.333813_S6	1167
NODE_B385_length_703_cov_139.857827_S6	13618
NODE_A1694_length_650_cov_518.596859_S6	1923
NODE_A2317_length_571_cov_32.957490_S6	534
NODE_A2865_length_518_cov_3.321995_S6	552
NODE_C4_length_1696_cov_15.546634_S7	1585
NODE_B111_length_1410_cov_6.499625_S7	1988
