magnitudes	CF6_6
NODE_A1334_length_622_cov_2.552294_S36	1199
NODE_A1335_length_622_cov_2.510092_S36	797
NODE_B456_length_622_cov_4.091743_S36	1605
NODE_A1339_length_621_cov_14.571691_S36	437
NODE_A1340_length_621_cov_8.571691_S36	705
NODE_A1341_length_621_cov_8.231618_S36	1383
NODE_B457_length_621_cov_5.174632_S36	1731
NODE_A1345_length_620_cov_9.996317_S36	1193
NODE_A1360_length_618_cov_6.225508_S36	482
NODE_A1364_length_618_cov_4.005545_S36	809
NODE_A1369_length_617_cov_25.027778_S36	1017
NODE_A1370_length_617_cov_24.185185_S36	600
NODE_A1371_length_617_cov_14.916667_S36	12774
NODE_A1373_length_617_cov_10.061111_S36	4302
NODE_A1374_length_617_cov_8.970370_S36	974
NODE_A1375_length_617_cov_7.698148_S36	1654
NODE_B466_length_617_cov_2.296296_S36	794
NODE_A1379_length_616_cov_17.003711_S36	1413
NODE_A1380_length_616_cov_16.625232_S36	2800
NODE_A1384_length_616_cov_4.369202_S36	868
NODE_B467_length_616_cov_5.165121_S36	2158
NODE_B468_length_616_cov_4.825603_S36	1582
NODE_A1396_length_615_cov_3.081784_S36	1028
NODE_A1397_length_615_cov_2.617100_S36	536
NODE_B473_length_615_cov_0.630112_S36	557
NODE_A1403_length_613_cov_5.779851_S36	1118
NODE_B476_length_613_cov_1.906716_S36	653
NODE_A1413_length_612_cov_3.609346_S36	1583
NODE_B478_length_612_cov_3.256075_S36	586
NODE_A1422_length_611_cov_3.172285_S36	588
NODE_A1424_length_610_cov_22.954972_S36	1428
NODE_A1430_length_609_cov_30.776316_S36	1576
NODE_A1434_length_609_cov_4.716165_S36	1096
NODE_A1438_length_609_cov_3.129699_S36	1061
NODE_A1458_length_606_cov_5.582231_S36	422
NODE_A1461_length_606_cov_4.907372_S36	592
NODE_A1462_length_606_cov_3.024575_S36	554
NODE_A1469_length_605_cov_5.303030_S36	4798
NODE_A1472_length_605_cov_3.791667_S36	877
NODE_A1477_length_605_cov_2.452652_S36	651
NODE_B491_length_605_cov_9.566288_S36	5312
NODE_C22_length_605_cov_0.486742_S36	939
NODE_A1480_length_604_cov_3.584440_S36	985
NODE_B493_length_604_cov_0.409867_S36	694
NODE_C23_length_604_cov_2.102467_S36	16073
NODE_A1485_length_603_cov_8.511407_S36	439
NODE_A1486_length_603_cov_6.460076_S36	5876
NODE_A1487_length_603_cov_5.271863_S36	3129
NODE_B494_length_603_cov_7.557034_S36	2573
NODE_A1492_length_602_cov_27.064762_S36	1176
NODE_A1494_length_602_cov_10.870476_S36	1072
