magnitudes	HG_CF_4
NODE_B806_length_826_cov_4.212283_S30	860
NODE_B807_length_826_cov_3.377837_S30	535
NODE_A8672_length_823_cov_37.781501_S30	813
NODE_A8673_length_823_cov_21.666220_S30	550
NODE_A8696_length_822_cov_107.883221_S30	1077
NODE_A8748_length_819_cov_90.805930_S30	1348
NODE_B859_length_807_cov_3.652055_S30	727
NODE_A9803_length_768_cov_30.790159_S30	632
NODE_A9884_length_764_cov_34.668122_S30	636
NODE_A10067_length_756_cov_14.103093_S30	1100
NODE_B1033_length_751_cov_2.777448_S30	455
NODE_A10329_length_745_cov_31.160180_S30	482
NODE_A10435_length_741_cov_36.959337_S30	527
NODE_C43_length_741_cov_1.582831_S30	1620
NODE_C44_length_740_cov_0.986425_S30	536
NODE_A10541_length_737_cov_47.913636_S30	1271
NODE_A10676_length_731_cov_33.383792_S30	720
NODE_B1114_length_729_cov_5.769939_S30	730
NODE_B1116_length_728_cov_4.827957_S30	625
NODE_A10946_length_721_cov_5.829193_S30	981
NODE_B1150_length_719_cov_38.772586_S30	2586
NODE_A11027_length_717_cov_68.418750_S30	1272
NODE_A11050_length_716_cov_59.935837_S30	733
NODE_A11135_length_713_cov_95.144654_S30	1480
NODE_A11240_length_709_cov_27.708861_S30	483
NODE_B1248_length_701_cov_2.876603_S30	752
NODE_B1288_length_693_cov_3.516234_S30	593
NODE_A11765_length_690_cov_30.034258_S30	468
NODE_B1317_length_688_cov_3.086743_S30	465
NODE_B1371_length_679_cov_3.543189_S30	812
NODE_B1381_length_677_cov_4.550000_S30	592
NODE_B1413_length_671_cov_2.393939_S30	517
NODE_B1439_length_667_cov_2.803390_S30	609
NODE_B1469_length_662_cov_5.251282_S30	638
NODE_A12685_length_660_cov_39.231561_S30	571
NODE_B1486_length_660_cov_2.234991_S30	425
NODE_B1513_length_655_cov_3.086505_S30	403
NODE_A13410_length_638_cov_30.654189_S30	490
NODE_B1628_length_637_cov_3.923214_S30	446
NODE_B1656_length_634_cov_2.558348_S30	416
NODE_A13656_length_630_cov_27.066908_S30	633
NODE_B1714_length_626_cov_31.173042_S30	1585
NODE_A14427_length_610_cov_79.711069_S30	1164
NODE_B1844_length_609_cov_4.674812_S30	820
NODE_A14502_length_608_cov_41.342750_S30	584
NODE_B1851_length_608_cov_3.261770_S30	4892
