NODE	Virus	Class	Order 	Family
NODE_A640_length_2703_cov_5.380046_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A20_length_3322_cov_8.413251_S17	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A54_length_1193_cov_6.870072_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A254_length_1722_cov_6.962310_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1539_length_1862_cov_13.648179_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_53022_cov_200.036698_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A94_length_1546_cov_9.516678_S34	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B9_length_4356_cov_57.600841_S5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A96_length_2766_cov_12.744143_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1051_length_699_cov_2.223473_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A175_length_1177_cov_6.829091_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A2009_length_605_cov_2.003788_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A52_length_3881_cov_14.866719_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1949_length_1684_cov_7.663970_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A163_length_1207_cov_3.741593_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B8_length_5026_cov_73.265306_S12	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A21_length_6396_cov_18.521602_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2152_length_1608_cov_9.007185_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A281_length_967_cov_3.183146_S19	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A12_length_4539_cov_13.398476_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A4223_length_509_cov_2.726852_NC3	phage	Caudoviricetes	Unclassified	Zobellviridae
NODE_A41_length_3500_cov_4.548934_S43	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A41_length_5274_cov_18.012315_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1588_length_539_cov_3.207792_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A19_length_6948_cov_12.772086_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A215_length_1733_cov_177.129227_S12	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A906_length_629_cov_4.603261_S34	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A97_length_1754_cov_3.511032_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_3567_cov_251.245559_S28	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A119_length_1347_cov_3.715748_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A12_length_5261_cov_9.947917_S14	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A17_length_5406_cov_11.410584_S42	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A218_length_1057_cov_4.202041_S34	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A408_length_808_cov_4.606019_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A136_length_1280_cov_13.032419_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A26_length_9796_cov_54.297150_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A666_length_2653_cov_8.889363_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A541_length_2867_cov_6.800358_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A54_length_3832_cov_15.459387_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1140_length_2117_cov_6.477941_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A71_length_3266_cov_23.086861_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A5_length_20763_cov_32.465967_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A586_length_563_cov_2.522634_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A86_length_1612_cov_5.809772_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A71_length_3040_cov_9.973675_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A671_length_1092_cov_2.689655_S44	phage	Caudoviricetes	Unclassified	Straboviridae
NODE_A12_length_6984_cov_23.928044_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8_length_13293_cov_31.091556_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A41_length_4501_cov_77.345615_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A57_length_2648_cov_7.364450_S8	phage	Leviviricetes	Unclassified	Unclassified
NODE_A129_length_2121_cov_6.986791_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A37_length_4854_cov_14.293908_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A112_length_2530_cov_9.715858_S10	phage	Caudoviricetes	Unclassified	Unclassified
